name,age,tribe,hometown,current_residence,occupation,image_url
Andy Rueda,31,3,"Buffalo, NY","Brooklyn, NY",AI research assistant,"https://variety.com/wp-content/uploads/2024/09/3003745_0006b.jpg?w=667"
Anika Dhar,26,3,"Santa Rosa, CA","Los Angeles, CA",Marketing manager,"https://variety.com/wp-content/uploads/2024/09/3003745_0201b.jpg?w=667"
Aysha Welch,32,2,"DeSoto, TX","Houston, TX",IT Consultant,"https://variety.com/wp-content/uploads/2024/09/3003745_0336b.jpg?w=667"
Caroline Vidmar,27,1,"Palos Verdes, California",Strategy consultant,"Chicago, IL","https://variety.com/wp-content/uploads/2024/09/3003745_0435b.jpg?w=667"
Gabe Ortis,26,1,"Baltimore, MD","Baltimore, MD",Radio show host,"https://variety.com/wp-content/uploads/2024/09/3003745_0604b.jpg?w=667"
Genevieve Mushaluk,33,2,"Winnipeg, Manitoba","Winnipeg, Manitoba",Corporate lawyer,"https://ew.com/thmb/t1mrS1fWwpfu8F4HnB9RTLaCwBw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GENEVIEVE-MUSHALUK-083024-b7eb811ae0d54d8b82570a9005ea40ce.jpg"
Jon Lovett,42,3,"Long Island, NY","Los Angeles, CA",Podcast host,"https://variety.com/wp-content/uploads/2024/09/3003745_0884b.jpg?w=667"
Kishan Patel,28,2,"Fullerton, CA","San Francisco, CA",ER doctor,"https://variety.com/wp-content/uploads/2024/09/3003745_1019b.jpg?w=667"
Kyle Ostwald,31,1,"Cheyboygan, MI","Cheyboygan, MI",Construction worker,"https://variety.com/wp-content/uploads/2024/09/3003745_1150b.jpg?w=667"
Rachel LaMont,34,3,"Dexter, MI","Southfield, MI",Graphic designer,"https://variety.com/wp-content/uploads/2024/09/3003745_1285b.jpg?w=667"
Rome Cooney,26,2,"Corvallis, OR","Phoenix, AZ",E-Sports commentator,"https://variety.com/wp-content/uploads/2024/09/3003745_1430b.jpg?w=667"
Sam Phalen,24,3,"Schaumburg, IL","Nashville, TN",Sports reporter,"https://variety.com/wp-content/uploads/2024/09/3003745_1575b.jpg?w=667"
Sierra Wright,27,3,"Wilmington, DE","Phoenixville, PA",Nurse,"https://variety.com/wp-content/uploads/2024/09/3003745_1672b.jpg?w=667"
Solomon Yi,43,2,"Del City, OK","Norwalk, CT",Medical device sales,"https://variety.com/wp-content/uploads/2024/09/3003745_1859b.jpg?w=667"
Sue Smey,59,1,"Kirkwood, NY","Putnam Valley, NY",Flight school owner,"https://variety.com/wp-content/uploads/2024/09/3003745_1972b.jpg?w=667"
Teeny Chirichillo,24,2,"Manahawkin, NJ","Manahawkin, NJ",Freelance writer,"https://variety.com/wp-content/uploads/2024/09/3003745_2081b.jpg?w=667"
Tiyana Hallums,27,1,"Aiea, HI","Aiea, HI",Flight attendant,"https://variety.com/wp-content/uploads/2024/09/3003745_2359b.jpg?w=667"
Terran Foster,31,1,"Prince George's County, MD","Upper Marlboro, MD",Athlete marketing manager,"https://variety.com/wp-content/uploads/2024/09/3003745_2199b.jpg?w=667"